Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:45 200,0.03,32,1844000,2362000,14,6576,-408,330,4.286502,-1.75,9,6,7,5,27,0,3,2,0,5
15:28:45 342,0.03,69.49,1844000,2362000,10,17913,-989,330,4.25132,-4.2,9.32,11.02,11.02,11.86,43.22,4.24,3.39,11.02,9.32,27.97
15:28:45 467,0.03,52.48,1844000,2362000,14,17913,-1409,330,4.224748,-5.95,4.95,6.93,4.95,6.93,23.76,5.94,3.96,11.88,5.94,27.72
15:28:45 585,0.03,52.63,1844000,2362000,11,17913,-1293,330,4.231834,-5.47,8.42,7.37,6.32,9.47,31.58,2.11,3.16,10.53,5.26,21.05
15:28:45 699,0.03,51.65,1844000,2362000,14,17913,-1601,330,4.212678,-6.74,4.4,5.49,4.4,4.4,18.68,7.69,7.69,6.59,7.69,29.67
15:28:45 813,0.03,48.24,1844000,2362000,8,17913,-1602,330,4.211581,-6.75,3.53,2.35,5.88,3.53,15.29,9.41,7.06,11.76,9.41,37.65
15:28:45 937,0.03,48.24,1844000,2362000,12,17913,-1648,330,4.208961,-6.94,2.35,2.35,3.53,3.53,11.76,8.24,9.41,8.24,9.41,35.29
15:28:46 052,0.03,48.98,1844000,2362000,14,17913,-1612,330,4.210944,-6.79,3.06,6.12,5.1,5.1,19.39,10.2,6.12,8.16,7.14,31.63
15:28:46 187,0.03,46.46,1402000,2362000,14,17913,-1579,330,4.213228,-6.65,3.03,4.04,5.05,7.07,19.19,10.1,5.05,4.04,5.05,24.24
15:28:46 305,0.03,41.51,1844000,2362000,15,17913,-1013,330,4.247678,-4.3,5.66,9.43,7.55,8.49,31.13,8.49,0.94,0.94,0.94,11.32
15:28:46 420,0.03,13.33,1402000,2362000,11,17913,-636,330,4.270878,-2.72,3.33,3.33,3.33,4.44,14.44,0,0,0,0,0
15:28:46 538,0.03,16.67,1402000,903000,8,11942,-564,330,4.275966,-2.41,3.33,3.33,3.33,4.44,14.44,0,0,0,0,0
15:28:46 665,0.03,27.27,1709000,1805000,8,6576,-432,330,4.284432,-1.85,6.06,8.08,4.04,6.06,24.24,1.01,1.01,0,0,2.02
